"Town","FIPS","Year","Crime Type","Measure Type","Variable","Value"
"Andover","0901301080",2010,"Total Crime","Number","Crime Index",35
"Andover","0901301080",2010,"Total Crime","Rate (per 100,000)","Crime Index",1098.6
"Andover","0901301080",2010,"Total Violent Crime","Number","Crime Index",1
"Andover","0901301080",2010,"Total Violent Crime","Rate (per 100,000)","Crime Index",31.4
"Andover","0901301080",2010,"Total Property Crime","Number","Crime Index",34
"Andover","0901301080",2010,"Total Property Crime","Rate (per 100,000)","Crime Index",1067.2
"Andover","0901301080",2010,"Aggravated Assault","Number","Crime Index",0
"Andover","0901301080",2010,"Aggravated Assault","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2010,"Murder","Number","Crime Index",0
"Andover","0901301080",2010,"Murder","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2010,"Rape","Number","Crime Index",0
"Andover","0901301080",2010,"Rape","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2010,"Robbery","Number","Crime Index",1
"Andover","0901301080",2010,"Robbery","Rate (per 100,000)","Crime Index",31.4
"Andover","0901301080",2010,"Burglary","Number","Crime Index",16
"Andover","0901301080",2010,"Burglary","Rate (per 100,000)","Crime Index",502.2
"Andover","0901301080",2010,"Larceny","Number","Crime Index",17
"Andover","0901301080",2010,"Larceny","Rate (per 100,000)","Crime Index",533.6
"Andover","0901301080",2010,"Motor Vehicle Theft","Number","Crime Index",1
"Andover","0901301080",2010,"Motor Vehicle Theft","Rate (per 100,000)","Crime Index",31.4
"Andover","0901301080",2010,"Arson","Number","Crime Index",1
"Andover","0901301080",2010,"Arson","Rate (per 100,000)","Crime Index",31.4
"Andover","0901301080",2011,"Total Crime","Number","Crime Index",26
"Andover","0901301080",2011,"Total Crime","Rate (per 100,000)","Crime Index",814.5
"Andover","0901301080",2011,"Total Violent Crime","Number","Crime Index",1
"Andover","0901301080",2011,"Total Violent Crime","Rate (per 100,000)","Crime Index",31.3
"Andover","0901301080",2011,"Total Property Crime","Number","Crime Index",25
"Andover","0901301080",2011,"Total Property Crime","Rate (per 100,000)","Crime Index",783.2
"Andover","0901301080",2011,"Aggravated Assault","Number","Crime Index",0
"Andover","0901301080",2011,"Aggravated Assault","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2011,"Murder","Number","Crime Index",0
"Andover","0901301080",2011,"Murder","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2011,"Rape","Number","Crime Index",0
"Andover","0901301080",2011,"Rape","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2011,"Robbery","Number","Crime Index",1
"Andover","0901301080",2011,"Robbery","Rate (per 100,000)","Crime Index",31.3
"Andover","0901301080",2011,"Burglary","Number","Crime Index",18
"Andover","0901301080",2011,"Burglary","Rate (per 100,000)","Crime Index",563.9
"Andover","0901301080",2011,"Larceny","Number","Crime Index",6
"Andover","0901301080",2011,"Larceny","Rate (per 100,000)","Crime Index",188
"Andover","0901301080",2011,"Motor Vehicle Theft","Number","Crime Index",1
"Andover","0901301080",2011,"Motor Vehicle Theft","Rate (per 100,000)","Crime Index",31.3
"Andover","0901301080",2011,"Arson","Number","Crime Index",0
"Andover","0901301080",2011,"Arson","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2012,"Total Crime","Number","Crime Index",15
"Andover","0901301080",2012,"Total Crime","Rate (per 100,000)","Crime Index",468.6
"Andover","0901301080",2012,"Total Violent Crime","Number","Crime Index",4
"Andover","0901301080",2012,"Total Violent Crime","Rate (per 100,000)","Crime Index",125
"Andover","0901301080",2012,"Total Property Crime","Number","Crime Index",11
"Andover","0901301080",2012,"Total Property Crime","Rate (per 100,000)","Crime Index",343.6
"Andover","0901301080",2012,"Aggravated Assault","Number","Crime Index",0
"Andover","0901301080",2012,"Aggravated Assault","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2012,"Murder","Number","Crime Index",0
"Andover","0901301080",2012,"Murder","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2012,"Rape","Number","Crime Index",2
"Andover","0901301080",2012,"Rape","Rate (per 100,000)","Crime Index",62.5
"Andover","0901301080",2012,"Robbery","Number","Crime Index",2
"Andover","0901301080",2012,"Robbery","Rate (per 100,000)","Crime Index",62.5
"Andover","0901301080",2012,"Burglary","Number","Crime Index",4
"Andover","0901301080",2012,"Burglary","Rate (per 100,000)","Crime Index",125
"Andover","0901301080",2012,"Larceny","Number","Crime Index",6
"Andover","0901301080",2012,"Larceny","Rate (per 100,000)","Crime Index",187.4
"Andover","0901301080",2012,"Motor Vehicle Theft","Number","Crime Index",1
"Andover","0901301080",2012,"Motor Vehicle Theft","Rate (per 100,000)","Crime Index",31.2
"Andover","0901301080",2012,"Arson","Number","Crime Index",0
"Andover","0901301080",2012,"Arson","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2013,"Total Crime","Number","Crime Index",14
"Andover","0901301080",2013,"Total Crime","Rate (per 100,000)","Crime Index",436.8
"Andover","0901301080",2013,"Total Violent Crime","Number","Crime Index",2
"Andover","0901301080",2013,"Total Violent Crime","Rate (per 100,000)","Crime Index",62.4
"Andover","0901301080",2013,"Total Property Crime","Number","Crime Index",12
"Andover","0901301080",2013,"Total Property Crime","Rate (per 100,000)","Crime Index",374.4
"Andover","0901301080",2013,"Aggravated Assault","Number","Crime Index",1
"Andover","0901301080",2013,"Aggravated Assault","Rate (per 100,000)","Crime Index",31.2
"Andover","0901301080",2013,"Murder","Number","Crime Index",0
"Andover","0901301080",2013,"Murder","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2013,"Rape","Number","Crime Index",1
"Andover","0901301080",2013,"Rape","Rate (per 100,000)","Crime Index",31.2
"Andover","0901301080",2013,"Robbery","Number","Crime Index",0
"Andover","0901301080",2013,"Robbery","Rate (per 100,000)","Crime Index",0
"Andover","0901301080",2013,"Burglary","Number","Crime Index",7
"Andover","0901301080",2013,"Burglary","Rate (per 100,000)","Crime Index",218.4
